#Rank	Path	LengthInKmers	Flows
2	327000002	548	2
1	241000001	843	3
0	240000000	636	2
3	207000003	726	2
2	329000002	657	2
0	241000000	635	2
1	242000001	631	2
2	330000002	547	2
0	242000000	635	2
1	243000001	631	2
3	208000003	751	3
2	331000002	509	2
1	244000001	631	2
2	332000002	509	2
0	243000000	632	2
2	333000002	508	2
1	245000001	629	2
3	209000003	779	3
2	334000002	507	2
0	244000000	682	3
1	246000001	627	2
2	335000002	507	2
3	210000003	721	2
2	336000002	506	2
1	247000001	626	2
0	245000000	852	2
3	211000003	720	2
1	248000001	622	2
2	337000002	520	3
0	246000000	631	2
2	338000002	505	2
1	249000001	621	2
0	247000000	629	2
2	339000002	504	2
3	212000003	720	3
2	340000002	503	2
1	250000001	620	3
0	248000000	850	2
3	213000003	705	2
1	251000001	617	2
0	249000000	624	2
3	214000003	705	2
2	341000002	603	3
1	252000001	615	2
0	250000000	621	2
2	342000002	497	2
3	215000003	704	2
1	253000001	615	2
0	251000000	611	2
3	216000003	700	2
2	343000002	625	3
0	252000000	611	2
1	254000001	946	2
2	344000002	497	2
3	217000003	699	2
0	253000000	610	2
1	255000001	905	3
2	345000002	534	2
0	254000000	636	3
3	218000003	698	2
1	256000001	611	2
2	346000002	503	2
0	255000000	608	2
3	219000003	696	2
2	347000002	493	2
0	256000000	608	2
1	257000001	608	2
3	220000003	694	2
2	348000002	493	2
0	257000000	605	2
2	349000002	492	2
0	258000000	604	2
3	221000003	692	2
2	350000002	491	2
1	259000001	606	3
2	351000002	489	2
3	222000003	690	2
2	352000002	490	2
3	223000003	689	2
2	353000002	486	2
3	224000003	689	2
2	354000002	486	2
0	259000000	627	3
1	260000001	1585	3
2	355000002	485	2
2	356000002	485	2
0	260000000	704	3
2	357000002	484	2
1	261000001	756	3
0	261000000	601	2
1	262000001	603	2
2	358000002	484	3
0	262000000	601	2
3	225000003	1478	3
2	359000002	482	2
1	263000001	594	2
0	263000000	601	2
3	226000003	689	2
1	264000001	591	2
0	264000000	593	2
3	227000003	688	2
1	265000001	591	2
2	360000002	875	3
0	265000000	590	2
1	266000001	590	2
3	228000003	687	2
2	361000002	488	2
3	229000003	685	2
1	267000001	597	3
3	231000003	676	2
2	362000002	552	3
0	266000000	912	3
1	268000001	590	3
1	269000001	588	2
0	267000000	582	2
1	270000001	587	2
0	268000000	581	2
1	271000001	585	2
0	269000000	580	2
2	363000002	1245	3
1	272000001	585	2
2	364000002	476	2
0	270000000	580	2
1	273000001	583	2
2	365000002	474	2
3	232000003	1065	3
1	274000001	579	2
2	366000002	472	2
3	233000003	675	2
2	367000002	472	2
0	271000000	743	3
1	275000001	830	2
3	234000003	675	2
2	369000002	471	2
0	273000000	596	2
2	371000002	467	2
1	276000001	756	2
2	372000002	467	2
3	235000003	1049	2
1	277000001	573	2
2	373000002	466	2
0	274000000	749	3
1	278000001	711	3
0	275000000	575	2
2	374000002	795	2
2	375000002	465	2
3	236000003	1035	3
1	279000001	572	3
2	376000002	464	2
1	280000001	570	2
3	238000003	668	2
0	276000000	759	3
1	281000001	567	2
3	239000003	664	2
2	377000002	658	3
0	277000000	573	2
1	282000001	607	3
0	278000000	573	2
3	240000003	669	3
1	283000001	565	2
0	279000000	572	2
2	378000002	1078	3
1	284000001	565	2
3	241000003	662	2
2	379000002	462	2
1	285000001	562	2
0	280000000	913	2
3	242000003	660	2
2	380000002	461	2
2	381000002	460	2
2	382000002	460	2
1	286000001	914	3
3	243000003	686	3
0	281000000	691	3
2	383000002	458	2
3	244000003	656	2
2	384000002	458	2
0	282000000	569	2
2	385000002	457	2
0	283000000	569	2
2	386000002	457	2
1	287000001	1111	3
0	284000000	568	2
2	387000002	457	2
1	288000001	551	2
2	388000002	456	2
0	285000000	567	2
1	289000001	551	2
3	245000003	1016	3
2	389000002	456	2
0	286000000	566	2
2	390000002	455	2
1	290000001	585	3
2	391000002	455	2
0	287000000	628	3
2	392000002	455	2
3	246000003	993	2
1	291000001	547	2
1	292000001	546	2
2	393000002	455	2
3	247000003	641	2
1	293000001	546	2
2	394000002	453	2
1	294000001	545	2
2	395000002	452	2
2	396000002	460	2
1	295000001	541	2
2	397000002	451	2
3	248000003	854	3
0	288000000	998	3
1	296000001	538	2
3	249000003	640	2
0	289000000	564	2
1	297000001	537	2
3	250000003	639	2
0	290000000	564	2
1	298000001	534	2
1	299000001	533	2
0	291000000	564	2
3	251000003	639	2
2	398000002	692	3
2	399000002	449	2
3	253000003	637	2
0	292000000	581	3
2	400000002	448	2
0	293000000	562	2
2	401000002	447	2
1	301000001	904	3
3	255000003	629	3
0	294000000	562	2
2	402000002	447	2
1	302000001	531	2
2	403000002	477	3
3	256000003	628	3
2	404000002	445	2
2	405000002	445	2
0	295000000	1093	3
3	257000003	625	2
2	406000002	445	2
3	259000003	620	2
2	407000002	445	2
2	408000002	444	2
1	303000001	1079	3
3	260000003	613	2
2	409000002	443	2
0	296000000	629	3
1	304000001	526	2
3	261000003	612	2
0	297000000	552	2
2	410000002	454	3
3	262000003	611	2
0	298000000	642	2
2	411000002	442	2
3	263000003	610	2
2	412000002	440	2
2	413000002	438	2
3	264000003	608	2
0	299000000	668	3
2	414000002	438	2
3	265000003	608	2
0	301000000	549	2
2	415000002	438	2
3	266000003	607	2
0	302000000	546	2
2	416000002	436	2
3	267000003	605	2
0	303000000	543	2
3	268000003	604	2
0	304000000	543	2
2	417000002	556	3
3	269000003	601	2
2	418000002	434	2
2	419000002	434	2
3	270000003	600	2
2	420000002	434	2
0	305000000	822	3
3	271000003	688	2
2	421000002	476	2
0	306000000	538	2
2	422000002	433	2
0	307000000	536	2
3	272000003	885	2
2	423000002	432	2
1	305000001	2726	3
1	306000001	519	2
2	424000002	448	2
3	273000003	597	2
0	308000000	824	2
3	274000003	593	2
0	309000000	535	2
0	310000000	542	2
3	275000003	968	2
0	311000000	533	2
3	276000003	590	2
0	312000000	585	3
3	277000003	590	2
0	313000000	532	2
3	278000003	597	3
0	314000000	531	2
2	425000002	1733	3
2	426000002	430	2
3	279000003	588	2
2	427000002	429	2
3	280000003	586	2
0	315000000	768	3
2	428000002	429	2
0	316000000	530	2
3	281000003	610	2
0	317000000	529	2
3	282000003	603	2
0	318000000	543	3
0	319000000	527	2
2	429000002	1700	2
3	283000003	586	3
0	320000000	527	2
2	430000002	428	2
